Survey_Priority_ID,Order,Region,WMU,Budget,YearsSinceRevised,RevisedYearLast,TargetYrs,YearProjectedtobeFlown,EOMSD,2019_Priority,Comments,WMUlist.x,AMBI,BISH,MOGO,MOOS,MUDE,PRON,WAPT,WTDE,SL_num,Drawnum,speciesNum,quota,applicants,drawn,minPriority,maxPriority,medPriority,muPriority,drw_cde_list,spp_list,WMUlist.y,GL.Season_Cnt,SL.SeasonCnt,M_Biomass,F_Biomass,YOY_Biomass,Spplist,TotalKill,Total_Biomass,LicenceCount,WMUlist,IntervalFactor
69,18,RDNS,326,15,4,2020,5,2020,OPS,1,,326,,1,,1,,,1,,2,1,1,15,171,15,6,8,6,6,33,MOOS,326,,,,,,,,,3,326,5
70,52,RDNS,328,25,15,2009,10,2021,OPS,1,,328,,1,,1,,,1,,2,1,1,20,186,20,4,6,4,4,33,MOOS,328,,,,,,,,,2,328,10
71,14,RDNS,330,25,9,2015,5,2020,OPS,2,,330,,,,1,1,,1,1,4,3,3,35,813,35,4,7,4,4,33|13|19,MOOS|MUDE|WAPT,330,3,2,666.1585366,0,0,MUDE|WAPT,7.012195122,666.1585366,3,330,5
72,132,RDNS,332,25,5,2019,5,2024,OPS,3,,332,,,,1,1,,1,1,6,5,3,228,2641,228,1,7,1,1,27|33|13|14|19,MOOS|MUDE|WAPT,332,3,3,15953.72355,7219.965951,590.5042735,MUDE|WAPT,92.61379667,23764.19377,5,332,5
73,143,RDNS,334,23,8,2016,7,2024,OPS,2,,334,,,,1,1,,1,1,5,5,3,246,1953,246,2,3,2,2,27|33|13|14|19,MOOS|MUDE|WAPT,334,3,3,5367.441528,1427.426829,0,MUDE|WAPT,43.40928307,6794.868357,5,334,7
74,33,RDNS,336,25,4,2020,5,2020,OPS,1,,336,,,,1,1,,,1,4,4,2,237,1931,237,2,4,2,2,27|33|13|14,MOOS|MUDE,336,2,2,1663.079268,689.1869919,0,MUDE,27.35162602,2352.26626,5,336,5
75,76,UAR,337,22,11,2013,5,2020,OPS,3,,337,,,,1,1,,1,1,6,5,3,295,1430,297,0,8,0,0,27|33|13|14|19,MOOS|MUDE|WAPT,337,3,3,4017.662451,4056.363636,1020.181818,MUDE|WAPT,44.56676172,9094.207906,5,337,5
76,106,UAR,338,32,8,2016,5,2023,OPS,,,338,,,,1,,,,1,1,1,1,7,388,8,5,5,5,5,33,MOOS,338,,,,,,,,,3,338,5
77,156,UAR,339,25,5,2019,5,2024,OPS,1,,339,,,,1,,,1,,2,1,1,52,312,52,2,6,2,2,33,MOOS,339,1,1,1350,0,0,MOOS,3,1350,2,339,5
78,107,UAR,340,32,8,2016,5,2023,OPS,,,340,,,,1,,,,,2,1,1,5,363,5,6,8,6,6,33,MOOS,340,1,1,2250,0,0,MOOS,5,2250,3,340,5
79,91,UAR,342,30,9,2015,5,2022,OPS,,,342,,,,1,,,,,2,1,1,37,124,38,2,4,2,2,33,MOOS,342,1,1,5823.376623,0,0,MOOS,12.94083694,5823.376623,3,342,5
80,66,UAR,344,31,10,2014,5,2020,OPS,,,344,,,,1,,,1,,3,2,2,65,965,65,5,7,5,5,33|19,MOOS|WAPT,344,2,2,27332.92253,0,0,MOOS|WAPT,70.98436289,27332.92253,3,344,5
81,88,UAR,344,31,6,2018,5,2021,OPS,,,344,,,,1,,,1,,3,2,2,65,965,65,5,7,5,5,33|19,MOOS|WAPT,344,2,2,27332.92253,0,0,MOOS|WAPT,70.98436289,27332.92253,3,344,5
82,144,UAR,346,35,6,2018,5,2024,OPS,,,346,,,,1,,,,1,2,1,1,102,1483,102,6,8,6,6,33,MOOS,346,1,1,42347.29021,0,0,MOOS,94.10508936,42347.29021,3,346,5
83,136,UAR,347,25,5,2019,5,2024,OPS,,,347,,,,1,,,,,2,1,1,75,323,75,1,4,1,1,33,MOOS,347,1,1,20756.25,0,0,MOOS,46.125,20756.25,2,347,5
84,92,UAR,348,40,9,2015,5,2022,OPS,,,348,,,,1,1,,1,1,5,4,3,430,3012,430,2,4,2,2,33|13|14|19,MOOS|MUDE|WAPT,348,3,3,9578.079533,8093.814914,1312.321031,MUDE|WAPT,114.4518302,18984.21548,4,348,5
85,145,UAR,349,30,6,2018,5,2024,OPS,,,349,,,,1,,,,,2,1,1,221,933,221,1,4,1,1,33,MOOS,349,1,1,40352.72727,0,0,MOOS,89.67272727,40352.72727,2,349,5
86,47,UAR,350,40,4,2020,5,2020,OPS,1,,350,,,,1,,,,,2,1,1,24,751,24,5,7,5,5,33,MOOS,350,1,1,10896.75325,0,0,MOOS,24.21500722,10896.75325,2,350,5
87,122,UAR,351,35,5,2019,5,2024,OPS,,,351,,,,1,,,,,2,1,1,85,449,85,2,5,2,2,33,MOOS,351,1,1,17691.1039,0,0,MOOS,39.31356421,17691.1039,2,351,5
88,96,UP,352,26,8,2016,5,2022,OPS,4,,352,,,,1,,,,,3,2,1,150,582,150,1,5,1,1,27|33,MOOS,352,1,2,11475,14878.57753,964.6153846,MOOS,64.01776002,27318.19292,3,352,5
